No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD,D spacings
1,10.0250,61.0000, , ,1.0000, ,8.81621
2,10.0750,34.0000, , ,1.0000, ,8.77256
3,10.1250,60.0000, , ,1.0000, ,8.72936
4,10.1750,59.0000, , ,1.0000, ,8.68657
5,10.2250,62.0000, , ,1.0000, ,8.64421
6,10.2750,56.0000, , ,1.0000, ,8.60225
7,10.3250,59.0000, , ,1.0000, ,8.56071
8,10.3750,48.0000, , ,1.0000, ,8.51956
9,10.4250,57.0000, , ,1.0000, ,8.47881
10,10.4750,42.0000, , ,1.0000, ,8.43846
11,10.5250,55.0000, , ,1.0000, ,8.39848
12,10.5750,54.0000, , ,1.0000, ,8.35888
13,10.6250,69.0000, , ,1.0000, ,8.31966
14,10.6750,49.0000, , ,1.0000, ,8.28080
15,10.7250,49.0000, , ,1.0000, ,8.24231
16,10.7750,57.0000, , ,1.0000, ,8.20417
17,10.8250,41.0000, , ,1.0000, ,8.16639
18,10.8750,50.0000, , ,1.0000, ,8.12896
19,10.9250,67.0000, , ,1.0000, ,8.09187
20,10.9750,54.0000, , ,1.0000, ,8.05511
21,11.0250,47.0000, , ,1.0000, ,8.01869
22,11.0750,50.0000, , ,1.0000, ,7.98260
23,11.1250,45.0000, , ,1.0000, ,7.94684
24,11.1750,57.0000, , ,1.0000, ,7.91139
25,11.2250,51.0000, , ,1.0000, ,7.87627
26,11.2750,53.0000, , ,1.0000, ,7.84145
27,11.3250,48.0000, , ,1.0000, ,7.80694
28,11.3750,43.0000, , ,1.0000, ,7.77274
29,11.4250,69.0000, , ,1.0000, ,7.73883
30,11.4750,44.0000, , ,1.0000, ,7.70523
31,11.5250,53.0000, , ,1.0000, ,7.67191
32,11.5750,47.0000, , ,1.0000, ,7.63888
33,11.6250,45.0000, , ,1.0000, ,7.60614
34,11.6750,45.0000, , ,1.0000, ,7.57368
35,11.7250,47.0000, , ,1.0000, ,7.54149
36,11.7750,63.0000, , ,1.0000, ,7.50958
37,11.8250,47.0000, , ,1.0000, ,7.47794
38,11.8750,48.0000, , ,1.0000, ,7.44656
39,11.9250,50.0000, , ,1.0000, ,7.41545
40,11.9750,40.0000, , ,1.0000, ,7.38460
41,12.0250,57.0000, , ,1.0000, ,7.35401
42,12.0750,49.0000, , ,1.0000, ,7.32367
43,12.1250,47.0000, , ,1.0000, ,7.29358
44,12.1750,49.0000, , ,1.0000, ,7.26374
45,12.2250,52.0000, , ,1.0000, ,7.23415
46,12.2750,44.0000, , ,1.0000, ,7.20479
47,12.3250,46.0000, , ,1.0000, ,7.17567
48,12.3750,48.0000, , ,1.0000, ,7.14679
49,12.4250,34.0000, , ,1.0000, ,7.11815
50,12.4750,42.0000, , ,1.0000, ,7.08973
51,12.5250,44.0000, , ,1.0000, ,7.06154
52,12.5750,43.0000, , ,1.0000, ,7.03357
53,12.6250,57.0000, , ,1.0000, ,7.00583
54,12.6750,47.0000, , ,1.0000, ,6.97830
55,12.7250,41.0000, , ,1.0000, ,6.95100
56,12.7750,28.0000, , ,1.0000, ,6.92390
57,12.8250,37.0000, , ,1.0000, ,6.89702
58,12.8750,40.0000, , ,1.0000, ,6.87035
59,12.9250,51.0000, , ,1.0000, ,6.84388
60,12.9750,46.0000, , ,1.0000, ,6.81762
61,13.0250,44.0000, , ,1.0000, ,6.79156
62,13.0750,43.0000, , ,1.0000, ,6.76570
63,13.1250,38.0000, , ,1.0000, ,6.74004
64,13.1750,43.0000, , ,1.0000, ,6.71458
65,13.2250,32.0000, , ,1.0000, ,6.68930
66,13.2750,52.0000, , ,1.0000, ,6.66422
67,13.3250,36.0000, , ,1.0000, ,6.63932
68,13.3750,26.0000, , ,1.0000, ,6.61462
69,13.4250,33.0000, , ,1.0000, ,6.59009
70,13.4750,38.0000, , ,1.0000, ,6.56575
71,13.5250,37.0000, , ,1.0000, ,6.54159
72,13.5750,37.0000, , ,1.0000, ,6.51761
73,13.6250,58.0000, , ,1.0000, ,6.49380
74,13.6750,52.0000, , ,1.0000, ,6.47017
75,13.7250,34.0000, , ,1.0000, ,6.44672
76,13.7750,52.0000, , ,1.0000, ,6.42343
77,13.8250,48.0000, , ,1.0000, ,6.40031
78,13.8750,30.0000, , ,1.0000, ,6.37736
79,13.9250,26.0000, , ,1.0000, ,6.35457
80,13.9750,34.0000, , ,1.0000, ,6.33195
81,14.0250,41.0000, , ,1.0000, ,6.30948
82,14.0750,36.0000, , ,1.0000, ,6.28718
83,14.1250,32.0000, , ,1.0000, ,6.26504
84,14.1750,44.0000, , ,1.0000, ,6.24305
85,14.2250,32.0000, , ,1.0000, ,6.22122
86,14.2750,32.0000, , ,1.0000, ,6.19954
87,14.3250,34.0000, , ,1.0000, ,6.17802
88,14.3750,33.0000, , ,1.0000, ,6.15664
89,14.4250,40.0000, , ,1.0000, ,6.13541
90,14.4750,39.0000, , ,1.0000, ,6.11433
91,14.5250,47.0000, , ,1.0000, ,6.09340
92,14.5750,33.0000, , ,1.0000, ,6.07260
93,14.6250,35.0000, , ,1.0000, ,6.05196
94,14.6750,44.0000, , ,1.0000, ,6.03145
95,14.7250,43.0000, , ,1.0000, ,6.01108
96,14.7750,37.0000, , ,1.0000, ,5.99085
97,14.8250,33.0000, , ,1.0000, ,5.97076
98,14.8750,42.0000, , ,1.0000, ,5.95080
99,14.9250,38.0000, , ,1.0000, ,5.93098
100,14.9750,33.0000, , ,1.0000, ,5.91129
101,15.0250,34.0000, , ,1.0000, ,5.89173
102,15.0750,48.0000, , ,1.0000, ,5.87230
103,15.1250,46.0000, , ,1.0000, ,5.85300
104,15.1750,34.0000, , ,1.0000, ,5.83382
105,15.2250,42.0000, , ,1.0000, ,5.81478
106,15.2750,36.0000, , ,1.0000, ,5.79586
107,15.3250,34.0000, , ,1.0000, ,5.77706
108,15.3750,39.0000, , ,1.0000, ,5.75838
109,15.4250,45.0000, , ,1.0000, ,5.73983
110,15.4750,33.0000, , ,1.0000, ,5.72140
111,15.5250,39.0000, , ,1.0000, ,5.70308
112,15.5750,70.0000, , ,1.0000, ,5.68489
113,15.6250,87.0000, , ,1.0000, ,5.66681
114,15.6750,90.0000, , ,1.0000, ,5.64884
115,15.7250,46.0000, , ,1.0000, ,5.63100
116,15.7750,41.0000, , ,1.0000, ,5.61326
117,15.8250,35.0000, , ,1.0000, ,5.59564
118,15.8750,18.0000, , ,1.0000, ,5.57813
119,15.9250,35.0000, , ,1.0000, ,5.56072
120,15.9750,38.0000, , ,1.0000, ,5.54343
121,16.0250,43.0000, , ,1.0000, ,5.52625
122,16.0750,30.0000, , ,1.0000, ,5.50917
123,16.1250,36.0000, , ,1.0000, ,5.49220
124,16.1750,28.0000, , ,1.0000, ,5.47534
125,16.2250,33.0000, , ,1.0000, ,5.45858
126,16.2750,29.0000, , ,1.0000, ,5.44192
127,16.3250,25.0000, , ,1.0000, ,5.42536
128,16.3750,23.0000, , ,1.0000, ,5.40891
129,16.4250,33.0000, , ,1.0000, ,5.39256
130,16.4750,37.0000, , ,1.0000, ,5.37630
131,16.5250,23.0000, , ,1.0000, ,5.36015
132,16.5750,39.0000, , ,1.0000, ,5.34409
133,16.6250,36.0000, , ,1.0000, ,5.32813
134,16.6750,28.0000, , ,1.0000, ,5.31227
135,16.7250,23.0000, , ,1.0000, ,5.29650
136,16.7750,22.0000, , ,1.0000, ,5.28082
137,16.8250,36.0000, , ,1.0000, ,5.26524
138,16.8750,23.0000, , ,1.0000, ,5.24975
139,16.9250,28.0000, , ,1.0000, ,5.23436
140,16.9750,33.0000, , ,1.0000, ,5.21905
141,17.0250,24.0000, , ,1.0000, ,5.20384
142,17.0750,33.0000, , ,1.0000, ,5.18871
143,17.1250,26.0000, , ,1.0000, ,5.17368
144,17.1750,33.0000, , ,1.0000, ,5.15873
145,17.2250,29.0000, , ,1.0000, ,5.14386
146,17.2750,21.0000, , ,1.0000, ,5.12909
147,17.3250,35.0000, , ,1.0000, ,5.11440
148,17.3750,29.0000, , ,1.0000, ,5.09979
149,17.4250,33.0000, , ,1.0000, ,5.08527
150,17.4750,22.0000, , ,1.0000, ,5.07083
151,17.5250,31.0000, , ,1.0000, ,5.05648
152,17.5750,32.0000, , ,1.0000, ,5.04221
153,17.6250,26.0000, , ,1.0000, ,5.02801
154,17.6750,40.0000, , ,1.0000, ,5.01390
155,17.7250,35.0000, , ,1.0000, ,4.99987
156,17.7750,35.0000, , ,1.0000, ,4.98592
157,17.8250,28.0000, , ,1.0000, ,4.97205
158,17.8750,33.0000, , ,1.0000, ,4.95825
159,17.9250,28.0000, , ,1.0000, ,4.94453
160,17.9750,29.0000, , ,1.0000, ,4.93089
161,18.0250,29.0000, , ,1.0000, ,4.91733
162,18.0750,37.0000, , ,1.0000, ,4.90384
163,18.1250,25.0000, , ,1.0000, ,4.89042
164,18.1750,29.0000, , ,1.0000, ,4.87708
165,18.2250,24.0000, , ,1.0000, ,4.86381
166,18.2750,20.0000, , ,1.0000, ,4.85062
167,18.3250,37.0000, , ,1.0000, ,4.83750
168,18.3750,31.0000, , ,1.0000, ,4.82445
169,18.4250,25.0000, , ,1.0000, ,4.81147
170,18.4750,33.0000, , ,1.0000, ,4.79856
171,18.5250,26.0000, , ,1.0000, ,4.78572
172,18.5750,24.0000, , ,1.0000, ,4.77295
173,18.6250,32.0000, , ,1.0000, ,4.76025
174,18.6750,23.0000, , ,1.0000, ,4.74761
175,18.7250,20.0000, , ,1.0000, ,4.73505
176,18.7750,32.0000, , ,1.0000, ,4.72255
177,18.8250,29.0000, , ,1.0000, ,4.71012
178,18.8750,27.0000, , ,1.0000, ,4.69776
179,18.9250,26.0000, , ,1.0000, ,4.68546
180,18.9750,29.0000, , ,1.0000, ,4.67322
181,19.0250,28.0000, , ,1.0000, ,4.66106
182,19.0750,26.0000, , ,1.0000, ,4.64895
183,19.1250,34.0000, , ,1.0000, ,4.63691
184,19.1750,22.0000, , ,1.0000, ,4.62493
185,19.2250,25.0000, , ,1.0000, ,4.61301
186,19.2750,26.0000, , ,1.0000, ,4.60116
187,19.3250,20.0000, , ,1.0000, ,4.58937
188,19.3750,19.0000, , ,1.0000, ,4.57764
189,19.4250,24.0000, , ,1.0000, ,4.56597
190,19.4750,25.0000, , ,1.0000, ,4.55436
191,19.5250,28.0000, , ,1.0000, ,4.54281
192,19.5750,30.0000, , ,1.0000, ,4.53132
193,19.6250,25.0000, , ,1.0000, ,4.51988
194,19.6750,29.0000, , ,1.0000, ,4.50851
195,19.7250,27.0000, , ,1.0000, ,4.49720
196,19.7750,26.0000, , ,1.0000, ,4.48594
197,19.8250,35.0000, , ,1.0000, ,4.47474
198,19.8750,20.0000, , ,1.0000, ,4.46359
199,19.9250,27.0000, , ,1.0000, ,4.45250
200,19.9750,26.0000, , ,1.0000, ,4.44147
201,20.0250,26.0000, , ,1.0000, ,4.43049
202,20.0750,29.0000, , ,1.0000, ,4.41957
203,20.1250,19.0000, , ,1.0000, ,4.40870
204,20.1750,21.0000, , ,1.0000, ,4.39789
205,20.2250,14.0000, , ,1.0000, ,4.38713
206,20.2750,18.0000, , ,1.0000, ,4.37642
207,20.3250,21.0000, , ,1.0000, ,4.36577
208,20.3750,25.0000, , ,1.0000, ,4.35517
209,20.4250,22.0000, , ,1.0000, ,4.34462
210,20.4750,14.0000, , ,1.0000, ,4.33412
211,20.5250,37.0000, , ,1.0000, ,4.32368
212,20.5750,26.0000, , ,1.0000, ,4.31328
213,20.6250,19.0000, , ,1.0000, ,4.30294
214,20.6750,18.0000, , ,1.0000, ,4.29265
215,20.7250,27.0000, , ,1.0000, ,4.28240
216,20.7750,20.0000, , ,1.0000, ,4.27221
217,20.8250,27.0000, , ,1.0000, ,4.26207
218,20.8750,21.0000, , ,1.0000, ,4.25197
219,20.9250,23.0000, , ,1.0000, ,4.24192
220,20.9750,25.0000, , ,1.0000, ,4.23192
221,21.0250,15.0000, , ,1.0000, ,4.22197
222,21.0750,20.0000, , ,1.0000, ,4.21207
223,21.1250,10.0000, , ,1.0000, ,4.20221
224,21.1750,22.0000, , ,1.0000, ,4.19240
225,21.2250,26.0000, , ,1.0000, ,4.18264
226,21.2750,28.0000, , ,1.0000, ,4.17292
227,21.3250,15.0000, , ,1.0000, ,4.16325
228,21.3750,9.0000, , ,1.0000, ,4.15362
229,21.4250,22.0000, , ,1.0000, ,4.14404
230,21.4750,19.0000, , ,1.0000, ,4.13451
231,21.5250,22.0000, , ,1.0000, ,4.12502
232,21.5750,19.0000, , ,1.0000, ,4.11557
233,21.6250,27.0000, , ,1.0000, ,4.10617
234,21.6750,19.0000, , ,1.0000, ,4.09681
235,21.7250,24.0000, , ,1.0000, ,4.08749
236,21.7750,19.0000, , ,1.0000, ,4.07822
